City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Port Blair,IN,11.6667,92.75,83.57,65,60,2.44,broken clouds
80,Ocampo,MX,21.65,-101.5,81.77,10,54,7.74,broken clouds
81,Jamestown,US,42.097,-79.2353,49.51,47,0,16.11,clear sky
82,Chuy,UY,-33.6971,-53.4616,67.78,54,82,6.87,broken clouds
83,Waipawa,NZ,-41.4122,175.5153,49.1,79,92,5.82,overcast clouds
84,Hermanus,ZA,-34.4187,19.2345,59.81,73,1,19.53,clear sky
85,Urdoma,RU,61.7533,48.5442,22.78,98,66,2.51,broken clouds
86,Iwanai,JP,42.9744,140.5089,37.49,68,97,6.67,overcast clouds
87,Castro,BR,-24.7911,-50.0119,66.97,50,0,3.29,clear sky
88,Saint George,US,37.1041,-113.5841,77.79,16,0,28.77,clear sky
89,Bredasdorp,ZA,-34.5322,20.0403,59.56,71,0,14.7,clear sky
90,Ponta Do Sol,PT,32.6667,-17.1,72.72,56,100,7.27,overcast clouds
91,Santa Rosa,PH,14.3122,121.1114,82.38,76,100,7.29,overcast clouds
92,Harper,LR,4.375,-7.7169,79.66,81,95,8.01,overcast clouds
93,Aykhal,RU,66.0,111.5,24.75,97,100,11.25,overcast clouds
94,Kapaa,US,22.0752,-159.319,78.78,90,75,17.27,light rain
95,Port Hedland,AU,-20.3167,118.5667,77.05,61,8,5.75,clear sky
96,Dengzhou,CN,37.8086,120.7508,50.22,45,0,10.69,clear sky
97,Vardo,NO,70.3705,31.1107,39.24,91,100,22.66,overcast clouds
98,Nikolskoye,RU,59.7035,30.7861,39.09,82,74,3.36,broken clouds
99,Changqing,CN,36.5575,116.7272,49.21,31,10,6.98,clear sky
100,Poso,ID,-1.3959,120.7524,76.19,91,100,2.84,heavy intensity rain
101,Port Elizabeth,ZA,-33.918,25.5701,63.1,80,75,12.66,broken clouds
102,Bugama,NG,4.7341,6.8635,81.64,79,94,8.28,overcast clouds
103,Qaqortoq,GL,60.7167,-46.0333,32.67,75,5,6.76,clear sky
104,Chokurdakh,RU,70.6333,147.9167,-15.9,100,100,2.73,overcast clouds
105,Bluff,NZ,-46.6,168.3333,39.79,75,99,4.72,overcast clouds
106,Makat,KZ,47.6469,53.3463,59.14,54,100,2.46,overcast clouds
107,Lamu,KE,-2.2717,40.902,82.62,78,100,13.35,overcast clouds
108,Thompson,CA,55.7435,-97.8558,24.96,42,75,6.91,broken clouds
109,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,81,100,8.28,overcast clouds
110,Cherskiy,RU,68.75,161.3,15.26,95,100,7.76,overcast clouds
111,Oktyabrskiy,RU,54.4815,53.471,34.56,78,60,2.91,broken clouds
112,Goderich,CA,43.7501,-81.7165,35.92,55,39,9.22,scattered clouds
113,Bathsheba,BB,13.2167,-59.5167,84.81,61,20,20.71,few clouds
114,Hilo,US,19.7297,-155.09,75.27,94,100,1.01,heavy intensity rain
115,Palmer,US,42.1584,-72.3287,66.96,43,100,18.41,light rain
116,Rawson,AR,-43.3002,-65.1023,60.03,50,0,11.65,clear sky
117,Saskylakh,RU,71.9167,114.0833,10.78,93,99,13.24,overcast clouds
118,Grindavik,IS,63.8424,-22.4338,49.95,100,100,17.27,light intensity drizzle rain
119,Bengkulu,ID,-3.8004,102.2655,77.18,91,100,4.36,overcast clouds
120,Lebu,CL,-37.6167,-73.65,58.91,73,8,14.81,clear sky
121,Lincoln,US,40.8,-96.667,50.29,34,0,12.66,clear sky
122,Guerrero Negro,MX,27.9769,-114.0611,67.86,62,100,21.32,overcast clouds
123,Souillac,MU,-20.5167,57.5167,79.18,78,40,11.5,light rain
124,San Lawrenz,MT,36.0553,14.204,58.86,86,88,4.0,overcast clouds
125,Provideniya,RU,64.3833,-173.3,31.53,92,100,14.72,light snow
126,Nabire,ID,-3.3667,135.4833,76.19,93,100,2.95,light rain
127,Watrous,CA,51.6668,-105.4679,28.18,46,100,9.22,overcast clouds
