City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,Kaitangata,-46.2817,169.8464,52.38,73,66,19.62,NZ,2022-04-06 01:36:02
338,Camacha,33.0833,-16.3333,54.82,62,40,19.57,PT,2022-04-06 01:36:02
339,Rio Gallegos,-51.6226,-69.2181,32.05,80,0,8.05,AR,2022-04-06 01:32:11
340,Lasa,46.6166,10.7002,45.48,78,37,1.72,IT,2022-04-06 01:36:03
341,Lincoln,40.8,-96.667,49.12,65,0,0.0,US,2022-04-06 01:35:05
342,Ayagoz,47.9714,80.4392,54.12,45,27,3.18,KZ,2022-04-06 01:36:03
343,Puerto Lopez,4.0845,-72.956,74.1,91,89,2.17,CO,2022-04-06 01:36:03
344,Nabannagan,18.0715,121.5338,76.15,90,100,1.92,PH,2022-04-06 01:36:04
345,Novo Aripuana,-5.1206,-60.3797,73.99,99,100,2.86,BR,2022-04-06 01:36:04
346,Simbahan,6.3032,120.5836,81.61,77,91,9.57,PH,2022-04-06 01:36:04
347,Panacan,9.2463,118.4082,81.46,79,100,6.38,PH,2022-04-06 01:36:05
348,Ponta Do Sol,32.6667,-17.1,59.63,58,41,7.56,PT,2022-04-06 01:36:05
349,Alofi,-19.0595,-169.9187,84.09,65,75,5.75,NU,2022-04-06 01:36:05
350,Constitucion,-35.3333,-72.4167,55.69,84,10,10.36,CL,2022-04-06 01:36:05
351,Skelleftea,64.7507,20.9528,26.96,69,100,5.75,SE,2022-04-06 01:36:06
352,Kaspiysk,42.8816,47.6392,42.98,86,100,11.18,RU,2022-04-06 01:36:06
353,Hemnesberget,66.2333,13.6333,18.57,78,100,4.21,NO,2022-04-06 01:36:06
354,Cidreira,-30.1811,-50.2056,67.06,76,52,6.02,BR,2022-04-06 01:36:07
355,Daru,-9.0763,143.2092,85.87,63,14,4.76,PG,2022-04-06 01:36:07
356,Alvorada,-12.48,-49.1247,74.64,63,0,1.23,BR,2022-04-06 01:36:07
357,Castro,-24.7911,-50.0119,63.18,99,46,5.46,BR,2022-04-06 01:36:08
358,Kapuskasing,49.4169,-82.4331,42.89,52,75,6.91,CA,2022-04-06 01:32:02
359,Krasnoselkup,65.7,82.4667,33.75,96,100,23.06,RU,2022-04-06 01:36:08
360,Abha,18.2164,42.5053,59.25,11,0,4.61,SA,2022-04-06 01:36:09
361,Adrar,20.5022,-10.0711,71.29,32,2,11.59,MR,2022-04-06 01:36:09
362,Changying,52.8733,123.3213,21.42,48,32,15.1,CN,2022-04-06 01:36:09
363,Mabaruma,8.2,-59.7833,70.84,91,64,3.0,GY,2022-04-06 01:36:09
364,Quesnel,52.9999,-122.5029,46.9,27,40,20.71,CA,2022-04-06 01:36:10
365,Okhotsk,59.3833,143.3,25.43,75,100,23.44,RU,2022-04-06 01:36:10
366,Belmonte,-15.8631,-38.8828,77.36,83,0,5.01,BR,2022-04-06 01:36:10
367,La Romana,18.4273,-68.9728,73.76,88,20,6.91,DO,2022-04-06 01:36:11
368,Mayumba,-3.432,10.6554,76.95,93,100,6.2,GA,2022-04-06 01:36:11
369,Virginia Beach,36.8529,-75.978,66.25,87,100,11.5,US,2022-04-06 01:34:50
370,Nicolas Bravo,18.45,-88.9167,77.59,85,0,5.77,MX,2022-04-06 01:36:11
371,Dourbali,11.8091,15.8632,84.06,12,47,2.51,TD,2022-04-06 01:36:12
372,Aswan,24.0934,32.907,78.1,11,0,8.05,EG,2022-04-06 01:36:12
373,Tessalit,20.1986,1.0114,81.66,7,0,3.51,ML,2022-04-06 01:36:12
374,Muskogee,35.5834,-95.3336,71.82,67,0,4.61,US,2022-04-06 01:36:12
375,Haines Junction,60.7522,-137.5108,39.15,28,2,9.22,CA,2022-04-06 01:36:13
376,Kushiro,42.975,144.3747,41.95,93,75,17.27,JP,2022-04-06 01:37:13
377,Preobrazheniye,42.9019,133.9064,39.67,30,8,15.93,RU,2022-04-06 01:37:13
378,Katsina,12.9894,7.6006,81.39,10,73,3.56,NG,2022-04-06 01:37:14
379,Fort Nelson,58.8053,-122.7002,45.99,31,75,4.61,CA,2022-04-06 01:37:14
380,Sangar,63.9242,127.4739,5.27,91,100,5.64,RU,2022-04-06 01:37:14
381,Mana,5.6592,-53.7767,76.33,90,87,9.51,GF,2022-04-06 01:37:14
382,Sorong,-0.8833,131.25,85.8,65,33,12.91,ID,2022-04-06 01:37:15
383,Vangaindrano,-23.35,47.6,74.7,89,58,2.37,MG,2022-04-06 01:37:15
384,Sterling,39.0062,-77.4286,53.6,97,100,11.5,US,2022-04-06 01:36:59
385,Maple Creek,49.9168,-109.4848,31.64,94,100,27.29,CA,2022-04-06 01:37:15
386,Marsassoum,12.8275,-15.9806,76.62,38,0,10.31,SN,2022-04-06 01:37:16
387,Sobolevo,54.4299,31.8996,24.12,93,78,7.67,RU,2022-04-06 01:37:16
388,Miracema Do Tocantins,-9.5618,-48.3967,77.9,76,84,2.28,BR,2022-04-06 01:37:16
389,Valdivia,-39.8142,-73.2459,51.89,99,100,1.9,CL,2022-04-06 01:37:17
390,Sovetskaya,44.7769,41.1722,40.75,92,100,9.82,RU,2022-04-06 01:37:17
391,Vanavara,60.34,102.2797,26.06,89,100,7.02,RU,2022-04-06 01:37:17
392,Kralendijk,12.15,-68.2667,78.78,78,20,14.97,BQ,2022-04-06 01:37:17
393,Emba,48.8264,58.1442,36.3,71,68,4.03,KZ,2022-04-06 01:37:18
394,Beloha,-25.1667,45.05,71.15,95,10,4.79,MG,2022-04-06 01:37:18
395,Koszeg,47.3892,16.541,43.11,88,98,4.03,HU,2022-04-06 01:37:18
396,Luwuk,-0.9516,122.7875,84.36,71,98,5.17,ID,2022-04-06 01:37:19
397,Sao Paulo De Olivenca,-3.3783,-68.8725,72.32,99,100,1.45,BR,2022-04-06 01:37:19
398,Qaqortoq,60.7167,-46.0333,29.17,95,40,4.23,GL,2022-04-06 01:37:19
399,Mogadishu,2.0371,45.3438,80.51,76,31,11.07,SO,2022-04-06 01:37:19
400,Solikamsk,59.6196,56.7729,21.49,97,100,4.38,RU,2022-04-06 01:37:20
401,Mahebourg,-20.4081,57.7,77.29,88,40,8.05,MU,2022-04-06 01:37:20
402,Storforshei,66.4043,14.5233,17.65,85,100,3.44,NO,2022-04-06 01:37:20
403,Aripuana,-9.1667,-60.6333,73.26,98,100,1.14,BR,2022-04-06 01:36:28
404,Cascais,38.6979,-9.4215,53.47,63,97,8.99,PT,2022-04-06 01:37:21
405,Mayor Pablo Lagerenza,-19.9309,-60.7718,85.15,44,100,4.88,PY,2022-04-06 01:37:21
406,Cabedelo,-6.9811,-34.8339,77.67,82,63,9.15,BR,2022-04-06 01:33:04
407,Sur,22.5667,59.5289,81.73,46,6,10.13,OM,2022-04-06 01:37:21
408,Olafsvik,64.8945,-23.7142,27.34,68,60,27.18,IS,2022-04-06 01:37:22
409,Mount Gambier,-37.8333,140.7667,62.51,72,100,14.97,AU,2022-04-06 01:33:33
